"marker","cluster","BvsT1","T1vsT2","B_RvsNR","T1_RvsNR","T2_RvsNR","d_T1_B_RvsNR","d_T2_B_RvsNR","d_T2_T1_RvsNR","mean_d_T1_B_R","mean_d_T1_B_NR","mean_d_T2_B_R","mean_d_T2_B_NR","mean_d_T2_T1_R","mean_d_T2_T1_NR"
"CCR7","MMDSC_I","0.379","0.57","0.019","0.221","0.762","0.32","0.476","0.556","0.085","0.016","0.19","-0.015","0.116","0.044"
"CCR7","MMDSC_II","0.455","0.529","0.112","0.821","0.019","0.127","0.886","0.087","0.098","-0.113","-0.18","-0.023","-0.252","0.02"
"CCR7","MMDSC_III","0.028","0.114","0.799","0.752","0.476","0.442","0.914","0.352","0.003","-0.07","0.06","0.049","0.055","0.11"
"CCR7","Mono_I","0.027","0.77","1","0.721","0.476","0.442","0.171","1","-0.231","-0.127","-0.343","-0.093","-0.102","-0.029"
"CCR7","Mono_II","0.171","0.492","0.91","0.16","0.352","0.821","0.392","0.257","-0.124","-0.035","0.03","-0.128","0.177","-0.08"
"CCR7","Mono_III","0.854","0.322","0.506","0.234","0.171","0.646","0.914","0.61","-0.016","-0.08","-0.016","0.033","0.018","0.08"
"CCR7","Neu","0.548","0.846","0.646","0.018","0.61","0.104","0.114","0.171","-0.455","0.052","-0.087","-0.292","0.419","-0.182"
"CCR7","NK_like","0.906","0.625","0.646","0.316","0.352","0.673","0.476","0.914","-0.006","-0.041","0.014","0.037","0.03","0.047"
"CCR7","pDC","0.854","0.193","0.879","0.279","0.476","0.279","1","0.476","0.085","-0.067","0.081","0.155","0.018","0.217"
"CCR7","UA","1","0.232","0.13","0.752","0.762","0.442","0.257","0.762","0.062","-0.151","0.076","-0.218","0","-0.208"
"CD103","B","0.115","0.507","0.832","0.137","1","0.034","0.352","0.831","0.004","0","0.012","0.004","0.008","0.003"
"CD103","Baso","0.13","0.308","0.102","0.635","0.61","0.673","1","0.24","0.005","0.025","0.015","0.012","0.011","-0.04"
"CD103","CD4_T","0.955","0.722","0.635","0.101","0.914","0.02","1","0.114","0.012","-0.005","0.005","0.005","-0.007","0.007"
"CD103","CD8_T","0.162","0.084","0.833","0.597","0.61","0.833","0.762","0.762","0.005","0.008","0.045","0.036","0.04","0.035"
"CD103","cDC1","0.028","0.275","0.792","0.04","0.762","0.048","0.748","0.61","0.081","0.016","0.001","0.02","-0.072","-0.01"
"CD103","cDC2","0.074","0.022","0.14","0.14","0.762","0.752","0.476","0.476","0.019","0.018","-0.02","-0.001","-0.038","-0.017"
"CD103","DNT","0.623","0.734","0.174","0.955","0.905","0.533","1","0.905","0.002","-0.008","0.02","0.009","0.014","0.01"
"CD103","DPT","0.979","0.492","0.712","0.154","0.61","0.916","0.352","0.476","0.001","-0.005","0.004","0.035","0.003","0.03"
"CD103","GMDSC","0.95","0.557","0.32","0.267","0.762","0.254","0.905","0.257","0.036","-0.054","0.014","0","0.003","-0.189"
