"marker","cluster","BvsT1","T1vsT2","B_RvsNR","T1_RvsNR","T2_RvsNR","d_T1_B_RvsNR","d_T2_B_RvsNR","d_T2_T1_RvsNR","mean_d_T1_B_R","mean_d_T1_B_NR","mean_d_T2_B_R","mean_d_T2_B_NR","mean_d_T2_T1_R","mean_d_T2_T1_NR"
"CD33","DNT","0.394","0.164","0.743","0.069","0.11","0.09","0.063","0.905","0.126","0.009","0.021","-0.034","-0.126","-0.052"
"CD33","DPT","0.306","0.275","0.879","0.959","0.352","0.799","0.257","0.257","0.059","0.052","0.116","-0.024","0.009","-0.071"
"CD33","GMDSC","0.454","0.02","0.267","0.827","0.61","0.679","0.73","0.762","0.03","0.153","-0.161","-0.174","-0.18","-0.416"
"CD33","MMDSC_I","0.938","0.055","0.195","0.51","0.352","0.734","1","0.286","-0.077","0.113","-0.131","-0.111","-0.09","-0.394"
"CD33","MMDSC_II","0.839","0.02","0.438","0.661","0.038","0.943","0.343","0.352","-0.095","0.025","-0.222","-0.491","-0.086","-0.423"
"CD33","MMDSC_III","0.435","0.064","0.234","0.328","0.114","0.959","1","0.257","0.018","0.213","-0.091","-0.183","-0.108","-0.341"
"CD33","Mono_I","0.927","0.049","0.16","0.195","0.352","1","0.914","0.914","-0.001","0.106","-0.326","-0.056","-0.415","-0.271"
"CD33","Mono_II","0.642","0.322","0.51","0.874","0.114","0.115","0.762","0.476","-0.297","0.019","-0.032","-0.824","0.283","-0.78"
"CD33","Mono_III","0.678","0.084","0.195","0.279","0.171","0.646","0.762","0.476","-0.047","0.124","-0.08","-0.19","-0.106","-0.332"
"CD33","Neu","0.517","0.232","0.234","0.799","0.914","0.006","0.067","0.914","0.238","-0.083","0.185","-0.145","-0.095","-0.111"
"CD33","NK_like","0.19","0.846","0.635","0.712","0.392","0.328","0.762","0.61","0.027","-0.016","0.044","0.004","0.012","0.004"
"CD33","pDC","0.378","0.027","0.16","0.383","0.257","0.442","1","0.914","0.004","0.124","-0.144","-0.131","-0.185","-0.264"
"CD33","UA","0.306","0.105","0.879","0.959","0.476","0.799","0.171","0.114","-0.058","-0.103","-0.034","-0.469","0.026","-0.36"
"CD4","B","0.088","0.375","0.16","0.104","0.038","0.635","0.762","0.476","-0.049","-0.025","0.013","0.04","0.068","0.07"
"CD4","Baso","0.284","0.084","0.799","0.646","0.067","0.574","0.171","0.352","-0.175","-0.061","-0.819","-0.148","-0.641","-0.134"
"CD4","CD4_T","0.705","0.131","0.383","0.959","0.336","0.292","0.476","0.171","-0.119","0.032","-0.066","-0.112","0.049","-0.128"
"CD4","CD8_T","0.776","0.625","0.383","0.13","0.114","0.17","0.914","0.476","-0.071","0.014","-0.03","0.037","0.04","0.053"
"CD4","cDC1","0.009","0.695","0.048","0.027","0.01","0.646","0.257","0.257","-0.171","-0.127","-0.316","-0.072","-0.141","0.049"
"CD4","cDC2","0.378","0.16","0.646","0.027","0.067","0.082","0.257","0.914","-0.272","0.032","-0.52","-0.246","-0.225","-0.184"
"CD4","DNT","0.528","0.129","0.267","0.115","0.556","0.32","0.905","0.286","-0.168","-0.01","-0.022","0.035","0.165","0.043"
"CD4","DPT","0.644","0.064","0.442","0.037","0.257","0.104","0.914","0.352","-0.215","0.091","0.124","0.046","0.331","0.045"
"CD4","GMDSC","0.005","0.695","1","0.145","0.171","0.055","0.19","0.762","-0.462","-0.128","-0.487","-0.26","0.066","-0.03"
"CD4","MMDSC_I","1","0.25","0.799","0.281","0.171","0.377","0.476","1","-0.098","0.087","-0.2","-0.06","-0.107","-0.111"
"CD4","MMDSC_II","0.273","0.922","0.797","0.221","0.257","0.354","0.886","0.61","-0.146","0.161","-0.194","-0.175","-0.085","0.047"
"CD4","MMDSC_III","0.026","0.77","0.799","0.082","0.257","0.04","0.352","0.914","-0.233","-0.015","-0.264","-0.112","-0.008","0.045"
"CD4","Mono_I","0.263","0.492","0.442","0.064","0.038","0.195","0.114","0.914","-0.215","-0.023","-0.357","-0.01","-0.151","-0.037"
"CD4","Mono_II","0.193","0.846","1","0.328","0.257","0.51","1","1","-0.343","-0.062","-0.39","-0.213","-0.001","-0.042"
"CD4","Mono_III","0.487","0.193","0.646","0.442","0.352","0.383","0.914","1","-0.101","0.009","-0.206","-0.135","-0.126","-0.11"
"CD4","Neu","0.854","0.77","0.721","0.048","0.171","0.16","0.61","0.114","-0.558","0.108","-0.088","-0.158","0.535","-0.141"
"CD4","NK_like","0.098","0.554","0.234","0.126","0.257","0.442","1","0.61","-0.063","-0.023","-0.026","0","0.037","0.038"
"CD4","pDC","0.004","0.084","0.574","0.342","0.019","0.279","0.476","0.476","-0.307","-0.169","-0.452","-0.264","-0.16","-0.026"
"CD4","UA","0.225","0.415","0.442","0.16","0.352","0.442","0.762","0.593","-0.118","-0.005","-0.146","-0.128","-0.044","-0.184"
"CD40","B","0.008","0.432","0.721","0.506","0.476","0.328","1","0.762","-0.07","-0.209","-0.149","-0.222","-0.082","-0.061"
"CD40","Baso","0.776","0.922","0.383","0.019","0.336","0.048","0.762","0.019","0.086","-0.01","0.016","0.03","-0.088","0.038"
"CD40","CD4_T","0.552","0.262","0.225","0.126","0.593","0.313","0.476","0.199","0.016","-0.001","-0.018","0.003","-0.039","0.001"
"CD40","CD8_T","0.938","0.414","0.268","0.126","0.61","0.154","0.61","0.171","0.019","-0.002","-0.013","0.001","-0.038","0.003"
"CD40","cDC1","0.449","0.557","0.342","0.14","0.914","0.916","0.914","0.61","0.083","0.085","-0.187","0.121","-0.262","-0.021"
"CD40","cDC2","0.051","0.77","0.442","0.104","0.762","0.506","0.61","0.114","0.065","0.017","0.012","0.039","-0.067","0.027"
"CD40","DNT","0.375","0.834","0.743","0.61","0.73","0.377","0.556","0.413","0.004","-0.019","-0.017","-0.014","-0.02","0.005"
"CD40","DPT","0.263","0.02","0.16","0.16","0.171","0.721","0.762","0.61","-0.021","-0.032","-0.172","-0.094","-0.162","-0.076"
"CD40","GMDSC","0.003","0.77","0.221","0.07","0.114","0.254","1","0.067","0.227","0.139","0.109","0.128","-0.152","0.133"
"CD40","MMDSC_I","0.211","0.734","0.442","0.32","0.914","1","0.352","0.19","0.04","0.033","-0.028","0.1","-0.066","0.057"
"CD40","MMDSC_II","0.588","0.01","0.24","0.583","0.257","0.127","0.886","0.476","-0.133","0.218","0.238","0.196","0.424","0.256"
"CD40","MMDSC_III","0.001","0.01","0.195","0.383","0.352","1","1","0.762","0.123","0.195","0.322","0.353","0.198","0.139"
"CD40","Mono_I","0.08","1","0.048","0.104","0.257","0.646","0.61","0.914","0.058","0.098","-0.033","0.136","-0.086","0.016"
"CD40","Mono_II","0.717","0.322","0.18","0.442","0.914","0.661","0.352","0.61","-0.101","-0.014","-0.183","0.082","-0.044","0.076"
"CD40","Mono_III","0.047","0.625","0.195","0.064","1","0.721","0.171","0.114","0.042","0.016","-0.013","0.102","-0.056","0.062"
"CD40","Neu","0.554","0.322","0.082","0.058","0.61","0.493","0.352","0.038","0.019","-0.007","-0.037","0.006","-0.068","0.007"
"CD40","NK_like","0.348","0.333","0.082","0.064","0.171","1","0.476","0.038","0.002","-0.003","-0.035","0.001","-0.038","0.002"
"CD40","pDC","0.001","0.16","0.13","0.064","0.61","0.279","0.352","0.067","0.143","0.079","0.083","0.188","-0.083","0.11"
"CD40","UA","0.644","0.846","0.506","0.383","0.914","0.442","0.257","0.762","0.095","-0.05","0.16","-0.08","0.038","-0.034"
"CD66B","B","0.453","0.375","0.442","0.383","0.61","0.234","0.257","0.257","0.013","-0.053","0.184","0.016","0.168","0.006"
"CD66B","Baso","0.12","0.846","0.126","0.279","0.914","0.104","0.171","1","0.034","-0.06","0.168","-0.006","0.12","0.002"
"CD66B","CD4_T","0.85","0.358","0.506","1","0.762","0.154","0.748","0.61","0.006","-0.005","0.063","0.026","0.056","0.027"
"CD66B","CD8_T","0.41","0.799","0.442","0.879","0.762","0.02","0.336","1","0.016","-0.007","0.089","0.021","0.069","0.023"
"CD66B","cDC1","0.044","0.557","0.292","0.279","0.762","0.195","0.257","0.914","-0.008","-0.168","0.601","-0.191","0.603","0.066"
"CD66B","cDC2","1","0.922","0.16","0.328","0.762","0.429","0.257","0.762","0.027","-0.004","0.165","-0.034","0.126","-0.027"
"CD66B","DNT","0.293","0.514","0.51","0.145","1","0.661","0.905","0.556","-0.071","-0.03","0.018","-0.03","0.114","0.01"
"CD66B","DPT","0.712","0.846","0.506","0.104","0.914","0.082","0.914","0.61","-0.094","-0.016","0.24","-0.004","0.349","0.017"
"CD66B","GMDSC","0.679","0.16","0.221","0.441","0.476","0.099","0.286","0.476","0.276","-0.124","-0.036","-0.284","-0.357","-0.075"
"CD66B","MMDSC_I","0.323","0.203","0.104","1","0.61","0.267","0.476","0.905","0.04","-0.084","-0.032","-0.095","-0.068","-0.062"
"CD66B","MMDSC_II","0.946","0.375","0.042","0.51","0.257","0.222","0.686","0.762","0.208","-0.141","-0.094","0.012","-0.159","-0.046"
"CD66B","MMDSC_III","0.014","0.275","0.442","0.799","0.914","0.187","0.762","0.762","-0.01","-0.089","0.031","0.029","0.047","0.043"
"CD66B","Mono_I","1","0.695","0.646","0.383","0.762","0.506","0.914","0.914","-0.02","0.029","0.103","0.001","0.13","-0.015"
"CD66B","Mono_II","0.348","0.575","0.377","0.721","0.61","0.743","0.914","0.762","0.007","0.001","0.214","0.07","0.208","-0.101"
"CD66B","Mono_III","0.266","0.646","0.635","0.959","0.914","0.019","1","0.762","0.059","-0.015","0.108","0.054","0.035","0.034"
"CD66B","Neu","0.963","0.105","0.574","0.009","0.067","0.048","0.476","1","0.259","-0.024","0.036","-0.111","-0.26","-0.179"
"CD66B","NK_like","0.669","0.636","0.16","0.493","1","0.185","0.914","0.257","0.015","-0.014","0.078","0.022","0.06","0.027"
"CD66B","pDC","0.586","0.77","0.328","0.574","1","0.16","0.257","0.914","0.076","-0.019","0.158","0.017","0.06","0.044"
"CD66B","UA","0.818","0.846","0.16","0.562","0.914","0.646","0.171","0.257","0.073","-0.23","0.277","-0.174","0.189","-0.09"
"CD68","B","0.407","0.859","0.635","0.46","0.114","0.562","0.171","0.257","0.01","-0.008","0.032","-0.01","0.021","-0.015"
"CD68","Baso","0.959","0.041","0.646","0.16","0.914","0.082","0.61","0.014","0.07","-0.025","-0.043","-0.005","-0.136","-0.001"
"CD68","CD4_T","0.205","0.813","0.527","0.398","0.476","0.035","0.593","0.521","0.016","-0.002","0.012","0.008","-0.005","0.006"
"CD68","CD8_T","0.586","0.375","0.292","0.799","0.915","0.058","0.762","0.352","0.011","-0.004","0.011","0.008","-0.002","0.009"
"CD68","cDC1","0.89","0.695","0.635","0.246","1","0.027","0.257","0.914","-0.142","0.067","-0.121","0.104","0.034","0.028"
"CD68","cDC2","0.478","0.557","0.721","0.328","0.038","0.082","0.476","0.352","0.035","-0.045","0.017","-0.039","-0.028","-0.003"
"CD68","DNT","0.615","0.301","0.777","0.441","0.905","0.191","0.556","0.286","-0.02","0.005","0.001","-0.01","0.016","0.002"
"CD68","DPT","0.611","0.375","0.051","0.506","0.762","0.048","0.762","0.914","-0.033","0.016","-0.062","0.009","-0.038","-0.001"
"CD68","GMDSC","0.978","0.131","0.441","0.1","0.257","0.31","0.905","0.762","0.028","-0.189","0.031","-0.065","0.025","0.128"
"CD68","MMDSC_I","0.464","0.57","0.673","0.395","0.914","0.743","0.914","0.111","0.049","0.003","0.001","0.007","-0.033","0.043"
"CD68","MMDSC_II","0.068","0.232","0.606","0.533","0.61","0.524","0.486","0.476","-0.167","-0.069","0.296","0.124","0.521","0.12"
"CD68","MMDSC_III","0.243","0.232","0.799","0.493","0.762","0.959","0.476","0.61","-0.033","-0.075","0.095","0.053","0.133","0.065"
"CD68","Mono_I","0.712","0.232","0.574","0.195","0.762","0.646","0.61","0.61","0.024","-0.013","-0.059","-0.054","-0.073","-0.007"
"CD68","Mono_II","0.706","0.625","0.51","0.442","0.762","0.583","0.476","0.476","0.089","-0.029","-0.002","0.01","-0.102","0.023"
"CD68","Mono_III","0.487","0.625","0.574","0.959","0.914","0.879","1","0.352","0.03","-0.004","0.006","-0.002","-0.002","0.02"
"CD68","Neu","0.705","0.922","1","0.574","0.762","0.398","1","0.171","0.005","-0.009","-0.008","-0.005","-0.013","0.009"
"CD68","NK_like","0.587","1","0.492","0.916","0.831","0.799","0.61","0.392","0.003","0","-0.001","0.006","-0.003","0.003"
"CD68","pDC","0.145","0.024","0.429","1","0.352","0.279","0.067","0.352","-0.019","0.073","0","0.189","0.043","0.142"
"CD68","UA","0.963","0.625","0.442","0.959","0.762","0.959","0.171","0.762","0.026","-0.067","0.059","-0.153","0.039","-0.1"
"CD8","B","0.89","0.557","0.187","0.328","0.476","0.383","0.257","0.476","0.158","-0.002","0.267","0.073","0.062","0.061"
"CD8","Baso","0.678","0.77","0.383","0.506","0.61","0.721","0.067","0.352","0.175","-0.023","0.317","0.018","0.063","-0.002"
"CD8","CD4_T","0.712","0.919","0.383","0.442","0.762","0.799","0.762","0.392","0.073","0.028","0.178","0.027","0.074","0.024"
"CD8","CD8_T","0.927","0.037","0.187","0.799","0.61","0.442","0.762","0.61","-0.107","0.081","-0.172","-0.114","-0.071","-0.212"
"CD8","cDC1","1","0.557","0.16","0.328","0.257","0.004","0.61","0.067","0.528","-0.149","0.287","-0.004","-0.387","0.097"
"CD8","cDC2","0.548","0.906","0.328","0.246","0.476","0.879","0.476","0.762","0.157","-0.028","0.238","0.028","0.009","0.056"
"CD8","DNT","0.004","0.652","0.827","0.827","0.905","0.913","1","0.413","0.209","0.163","0.167","0.046","-0.146","-0.032"
"CD8","DPT","0.207","0.432","0.574","0.195","1","0.442","0.476","0.038","0.238","0.05","-0.131","0.124","-0.41","0.038"
"CD8","GMDSC","0.804","1","0.661","0.661","0.476","0.953","0.413","0.257","0.166","0.048","0.178","0.039","-0.069","0.086"
"CD8","MMDSC_I","0.274","0.301","0.442","0.913","0.762","0.661","0.914","0.905","0.268","0.048","0.298","0.06","-0.059","-0.04"
"CD8","MMDSC_II","0.108","0.922","0.298","0.267","0.476","0.143","0.686","0.171","0.505","0.008","0.196","0.097","-0.445","0.129"
"CD8","MMDSC_III","0.431","0.193","0.328","0.442","0.476","0.574","0.762","0.257","0.115","-0.009","0.22","0.09","0.073","0.041"
"CD8","Mono_I","0.644","0.695","0.799","0.879","0.114","0.959","0.257","0.914","0.07","0.089","0.002","0.288","-0.124","0.012"
"CD8","Mono_II","0.562","0.846","0.827","0.799","1","0.583","0.61","0.476","0.182","-0.063","-0.084","-0.068","-0.331","-0.047"
"CD8","Mono_III","0.927","0.432","0.442","0.721","0.61","0.879","0.61","0.61","0.206","-0.008","0.268","0","-0.017","-0.023"
"CD8","Neu","0.136","0.475","0.959","0.959","1","1","0.914","0.521","0.134","0.151","0.235","0.091","0.096","-0.077"
"CD8","NK_like","0.554","0.77","0.879","0.879","0.762","0.328","0.476","0.61","0.15","0.022","0.183","0.016","-0.031","0.025"
"CD8","pDC","0.611","0.77","0.646","0.721","0.61","0.328","0.914","0.476","0.096","-0.051","0.134","0","-0.042","0.053"
"CD8","UA","0.963","0.432","0.234","0.574","0.762","0.279","0.171","0.171","0.204","-0.097","0.313","-0.148","0.038","-0.091"
"CD80","B","0.366","0.695","0.562","0.195","0.914","0.014","0.914","0.038","0.043","-0.002","0.019","0.034","-0.023","0.013"
"CD80","Baso","0.356","0.284","0.46","0.246","0.61","0.721","0.171","0.257","-0.013","-0.013","-0.064","-0.012","-0.051","0.001"
"CD80","CD4_T","1","0.037","0.328","0.234","0.067","0.635","1","0.914","-0.01","-0.001","-0.035","-0.016","-0.024","-0.021"
"CD80","CD8_T","0.758","0.878","0.195","0.712","0.114","0.442","0.352","0.134","0.006","-0.004","-0.002","0.005","-0.009","0.008"
"CD80","cDC1","0.12","0.846","1","0.879","0.087","0.879","0.171","0.171","-0.03","-0.008","-0.072","-0.005","-0.052","0.017"
"CD80","cDC2","0.485","0.375","0.752","0.234","0.336","0.574","0.61","0.762","0.002","-0.032","-0.019","0.004","-0.025","-0.004"
"CD80","DNT","0.698","0.594","0.173","0.865","0.11","0.395","0.219","0.73","0.019","-0.011","-0.001","0.011","-0.015","-0.005"
"CD80","DPT","0.098","0.77","0.316","0.712","0.476","0.013","0.171","0.61","-0.071","-0.005","-0.085","-0.012","-0.016","-0.002"
"CD80","GMDSC","0.02","0.683","0.743","0.583","0.521","0.859","0.73","0.285","-0.081","-0.15","-0.076","-0.122","0.015","0.118"
"CD80","MMDSC_I","0.326","0.678","0.46","0.913","1","0.377","1","0.905","0","-0.049","0","-0.01","-0.007","-0.001"
"CD80","MMDSC_II","0.685","0.922","0.364","0.661","0.476","0.833","0.886","1","0.018","0.061","-0.105","-0.058","-0.124","0.012"
"CD80","MMDSC_III","0.723","0.919","0.493","0.279","0.762","0.328","0.476","0.914","0.025","0.005","0.023","0","-0.006","0.002"
"CD80","Mono_I","0.619","0.375","1","0.879","1","0.799","0.352","1","0.002","-0.007","-0.009","0.028","-0.017","-0.018"
"CD80","Mono_II","0.144","0.959","0.009","0.598","0.352","0.019","0.038","0.352","-0.214","0.006","-0.168","0.047","0.092","-0.036"
"CD80","Mono_III","0.962","0.322","0.562","0.598","0.454","0.916","0.914","0.914","-0.001","-0.011","-0.012","-0.011","-0.013","-0.013"
"CD80","Neu","0.142","0.695","0.752","0.234","0.24","1","1","0.762","-0.042","-0.019","-0.042","-0.036","0.003","-0.01"
"CD80","NK_like","0.587","0.374","0.37","0.598","0.257","0.874","0.171","0.067","0","-0.008","-0.005","0.006","-0.003","0.006"
"CD80","pDC","0.698","0.846","0.187","0.048","0.521","0.316","0.01","0.01","0.004","-0.01","-0.045","0.035","-0.049","0.03"
"CD80","UA","0.517","0.492","0.506","1","0.762","0.799","0.476","0.762","-0.048","-0.204","-0.102","-0.179","-0.052","-0.06"
"CD86","B","0.201","0.333","0.799","0.635","1","0.342","0.61","0.61","0.055","0.015","0.068","0.098","0.005","0.028"
"CD86","Baso","0.492","0.193","0.506","0.13","0.762","0.442","0.352","0.038","0.087","-0.002","-0.129","0.048","-0.237","0.027"
"CD86","CD4_T","0.162","0.232","1","0.799","0.61","0.268","0.914","0.61","0.035","0.001","0.046","0.047","0.003","0.042"
"CD86","CD8_T","0.687","0.625","0.048","0.051","0.476","0.879","0.914","0.61","-0.007","0.041","-0.039","0.008","-0.049","-0.036"
"CD86","cDC1","0.712","0.922","0.721","0.799","0.914","0.506","0.762","0.762","-0.012","-0.006","-0.255","0.082","-0.217","-0.005"
"CD86","cDC2","0.906","0.193","0.879","0.442","0.171","0.799","0.914","0.914","0.038","-0.208","-0.028","-0.214","-0.07","-0.209"
"CD86","DNT","0.348","0.91","0.377","0.221","0.19","0.913","0.111","0.016","0.018","0.006","-0.062","0.014","-0.062","0.021"
"CD86","DPT","1","0.77","0.506","0.646","0.61","0.574","0.61","0.257","-0.009","0.06","-0.02","0.122","-0.03","0.073"
"CD86","GMDSC","0.135","0.492","0.661","0.661","0.61","0.768","1","0.61","-0.047","0.158","-0.064","0.097","0.024","-0.294"
"CD86","MMDSC_I","0.9","0.301","1","1","0.914","0.913","0.61","0.905","0.005","-0.013","-0.111","0.045","-0.135","-0.123"
"CD86","MMDSC_II","0.273","0.695","0.797","0.743","0.257","0.354","0.686","0.476","-0.101","0.271","0.042","-0.125","0.23","-0.059"
"CD86","MMDSC_III","0.109","0.432","0.646","0.574","0.257","0.959","0.61","0.257","0.23","0.273","0.26","0.136","0.071","-0.324"
"CD86","Mono_I","0.963","1","0.959","0.279","0.762","0.721","0.914","0.914","0.099","-0.028","-0.151","0.126","-0.334","-0.033"
"CD86","Mono_II","0.375","0.375","0.913","0.799","0.914","0.913","0.61","0.914","-0.195","-0.052","-0.436","-0.284","-0.188","-0.326"
"CD86","Mono_III","0.963","0.322","0.574","0.37","0.476","0.721","0.914","0.914","-0.012","0.023","-0.106","-0.039","-0.119","-0.178"
"CD86","Neu","0.938","1","0.195","0.879","0.914","0.104","0.669","0.257","0.089","-0.021","0.051","0.123","-0.057","0.117"
"CD86","NK_like","0.366","0.322","0.879","0.598","0.61","0.16","0.257","0.01","0.02","-0.018","0.011","0.071","-0.016","0.065"
"CD86","pDC","0.818","0.695","0.506","0.799","0.352","0.721","0.914","0.762","-0.045","0.008","-0.048","-0.067","-0.012","-0.11"
"CD86","UA","0.517","0.492","0.383","0.879","0.762","0.799","0.352","0.61","0.003","-0.201","-0.025","-0.162","-0.027","-0.108"
"CKIT","B","0.066","1","0.597","0.268","0.593","0.073","0.914","0.914","0.014","0.001","0.013","0.007","-0.003","0.002"
"CKIT","Baso","0.818","0.922","0.958","0.959","0.762","0.959","1","0.914","0","0.008","0.054","0.016","0.052","-0.001"
"CKIT","CD4_T","0.887","0.678","0.113","0.316","0.593","0.315","1","0.914","-0.002","0.001","-0.005","0.001","-0.004","0"
"CKIT","CD8_T","0.687","0.475","0.101","0.113","0.61","0.712","0.914","0.915","-0.002","0.003","-0.006","0","-0.006","-0.003"
"CKIT","cDC1","0.507","0.922","0.959","0.268","0.257","0.291","0.762","0.762","0.013","-0.001","0.384","-0.003","0.369","-0.011"
"CKIT","cDC2","0.356","0.625","0.428","0.37","0.476","0.646","0.762","0.61","0.015","0.005","0.127","-0.005","0.104","-0.009"
"CKIT","DNT","0.856","0.813","0.281","0.036","0.73","0.865","0.219","0.176","0.002","-0.01","-0.009","0.016","-0.013","0.011"
"CKIT","DPT","0.115","0.625","0.154","0.429","0.762","0.442","0.24","0.61","-0.023","-0.014","-0.071","-0.004","-0.05","0.001"
"CKIT","GMDSC","0.842","0.76","0.496","0.65","0.285","0.624","0.73","0.669","0.011","0.006","0","0.033","0.003","0.022"
"CKIT","MMDSC_I","1","0.044","0.574","0.32","0.593","0.734","0.476","1","0.012","-0.002","-0.018","-0.044","-0.044","-0.034"
"CKIT","MMDSC_II","0.108","0.014","0.35","0.09","0.914","0.558","1","1","0.02","0.037","-0.101","-0.035","-0.093","-0.099"
"CKIT","MMDSC_III","0.201","0.722","0.342","0.195","1","0.916","0.61","0.171","0.009","0.007","0.005","0.033","-0.006","0.022"
"CKIT","Mono_I","0.256","0.01","0.342","0.13","0.762","0.114","0.914","0.352","0.029","0.001","-0.054","-0.001","-0.088","-0.025"
"CKIT","Mono_II","0.034","1","1","0.369","0.476","0.32","0.257","0.669","0.092","-0.11","0.099","-0.132","-0.021","-0.004"
"CKIT","Mono_III","0.431","0.064","0.291","0.126","0.61","0.799","0.762","0.914","0.025","0.008","-0.003","-0.017","-0.043","-0.028"
"CKIT","Neu","1","0.557","0.292","0.562","0.476","1","1","0.762","-0.001","0.001","0","0.001","0","-0.001"
"CKIT","NK_like","0.66","0.476","0.267","0.46","0.163","0.187","0.392","0.914","-0.003","0.001","-0.005","0","-0.002","-0.001"
"CKIT","pDC","0.068","0.554","0.018","0.018","0.155","0.635","1","0.352","0.005","0","0.004","0.002","-0.003","0.009"
"CKIT","UA","1","0.232","0.46","0.799","0.748","0.527","0.762","0.914","0.011","-0.067","-0.012","-0.032","-0.035","-0.027"
"CLEC9A","B","0.723","0.131","0.562","0.234","0.114","0.442","1","0.914","0.017","0.007","0.098","0.082","0.092","0.053"
"CLEC9A","Baso","0.344","0.557","0.316","0.574","0.61","0.114","0.914","0.762","0.039","-0.028","0.048","0.03","-0.004","0.015"
"CLEC9A","CD4_T","0.459","0.432","0.442","0.574","0.762","0.279","0.915","0.171","0.098","-0.013","0.006","0.052","-0.1","0.031"
"CLEC9A","CD8_T","0.579","0.646","0.234","0.721","1","0.383","0.762","0.257","0.054","-0.02","0.033","0.048","-0.028","0.05"
"CLEC9A","cDC1","0.329","0.432","0.506","0.234","0.915","0.721","0.914","0.257","-0.067","-0.026","0.189","0.076","0.323","0.226"
"CLEC9A","cDC2","0.449","0.846","0.506","0.037","0.61","0.013","0.257","0.019","0.118","-0.026","0","0.06","-0.14","0.048"
"CLEC9A","DNT","0.404","0.098","0.777","0.377","0.413","0.441","0.556","0.413","-0.135","-0.019","-0.031","0.028","0.143","0.03"
"CLEC9A","DPT","0.177","0.492","0.879","0.646","0.352","0.574","0.352","0.257","0.092","0.036","-0.131","0.1","-0.27","0.061"
"CLEC9A","GMDSC","0.524","0.846","0.661","0.038","0.914","0.013","0.905","0.067","0.418","-0.137","0.137","0.091","-0.301","0.25"
"CLEC9A","MMDSC_I","0.623","0.652","0.879","0.145","0.171","0.061","0.914","0.032","0.154","-0.096","0.082","0.104","-0.099","0.138"
"CLEC9A","MMDSC_II","0.735","0.557","0.147","0.089","1","0.833","0.114","0.171","-0.072","-0.008","-0.287","0.193","-0.182","0.226"
"CLEC9A","MMDSC_III","0.459","0.636","0.246","0.065","0.476","0.646","0.114","0.257","-0.009","-0.047","-0.114","0.052","-0.109","0.098"
"CLEC9A","Mono_I","0.611","0.475","0.234","0.009","0.038","0.646","0.914","0.748","0.051","-0.097","0.155","-0.003","0.222","0.013"
"CLEC9A","Mono_II","0.782","0.492","0.377","0.712","0.01","0.51","0.476","0.61","-0.133","-0.001","0.245","0.026","0.405","-0.041"
"CLEC9A","Mono_III","0.353","0.375","0.799","0.328","0.114","0.104","0.61","0.171","0.079","-0.052","0.015","0.081","-0.061","0.091"
"CLEC9A","Neu","0.579","1","0.562","0.104","0.257","0.879","0.61","0.257","0.074","-0.053","0.033","0.025","-0.05","0.052"
"CLEC9A","NK_like","0.963","0.041","0.959","0.916","1","0.879","0.593","0.235","0.001","-0.051","-0.014","0.035","-0.002","0.047"
"CLEC9A","pDC","0.927","0.044","0.646","0.234","0.352","0.646","0.914","0.352","0.034","-0.057","0.06","0.22","0.069","0.282"
"CLEC9A","UA","0.74","0.322","0.721","0.879","0.914","0.635","0.257","0.762","0.085","-0.182","0.103","-0.163","-0.008","-0.109"
"CXCR2","B","0.435","0.492","0.37","0.574","0.61","0.234","0.257","0.352","0.083","-0.019","0.144","0.058","0.038","0.06"
"CXCR2","Baso","0.517","0.846","0.383","0.646","1","0.879","0.61","0.914","0.1","-0.008","0.152","0.13","-0.007","0.086"
"CXCR2","CD4_T","0.616","0.492","0.442","0.958","0.61","0.369","1","0.762","0.083","-0.014","0.098","0.086","-0.015","0.084"
"CXCR2","CD8_T","0.981","0.683","0.506","1","0.762","0.102","1","0.669","0.089","-0.011","0.11","0.114","-0.014","0.101"
"CXCR2","cDC1","0.927","0.922","0.279","0.959","0.61","0.004","0.762","0.038","0.132","-0.064","0.007","0.124","-0.148","0.109"
"CXCR2","cDC2","1","0.77","0.442","0.574","0.762","0.574","0.61","0.476","0.11","0.04","0.162","0.048","-0.008","0.084"
"CXCR2","DNT","0.065","0.301","0.364","0.221","0.905","1","0.73","0.032","-0.1","-0.135","0.031","-0.022","0.152","-0.013"
"CXCR2","DPT","0.201","1","0.959","0.959","0.61","0.712","0.914","1","-0.153","-0.177","0.067","-0.204","0.322","-0.042"
"CXCR2","GMDSC","0.33","0.275","0.661","0.583","0.914","0.953","1","0.352","0.111","0.048","0.251","0.172","0.047","0.326"
"CXCR2","MMDSC_I","0.86","0.734","0.506","0.913","0.476","0.661","0.61","0.413","0.149","0.101","0.198","0.116","-0.014","0.102"
"CXCR2","MMDSC_II","0.146","0.432","0.898","0.51","0.476","0.222","1","0.257","0.173","0.045","-0.043","-0.093","-0.215","0.049"
"CXCR2","MMDSC_III","0.579","0.432","0.383","0.574","0.914","0.879","1","0.762","0.072","-0.022","0.105","0.145","0.007","0.051"
"CXCR2","Mono_I","0.431","0.322","0.916","1","0.476","0.879","0.352","0.171","0.044","0.044","0.017","0.156","-0.057","0.044"
"CXCR2","Mono_II","0.776","0.193","0.913","0.234","0.067","0.047","0.038","0.476","0.218","-0.088","0.209","-0.347","-0.055","-0.194"
